,Type,Activity,Sex ,Age,Injury,Fatal (Y/N),Time,Species ,Proper_date,Full Location,latitude,longitude,avg_temp,precipitation,wind_speed,sea_level_pressure
3830,Unprovoked,swimming,M,27,Nipped on leg,N,9999,Not Determined,19310715,"USA New Jersey Sea Girt, Monmouth County",40.1320592,-74.0345813,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3831,Unprovoked,had,M,27,Survived,N,9999,Not Determined,19310614,"USA Hawaii Pearl Harbor, O'ahu",21.3511958,-157.9801523,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3832,Provoked,gaffing,M,27,Tip of finger amputated PROVOKED INCIDENT,N,9999,"Tiger shark, 3 m [10']",19310613,"USA Hawaii Pearl Harbor, O'ahu",21.3511958,-157.9801523,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3833,Unprovoked,fishing,M,19,"FATAL, left thigh severely bitten ",Y,9999,Not Determined,19310322,"AUSTRALIA Queensland Ross River, Townsville",-19.4006854,146.7329811,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3834,Provoked,hauling,M,27,"Finger lacerated, PROVOKED INCIDENT",N,9999,"1.8 m [6'] ""cocktail shark",19310306,AUSTRALIA South Australia Encounter Bay,-35.5691879,138.599147,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3835,Unprovoked,no activity,M,27,Recovered,N,9999,Not Determined,19310124,AUSTRALIA Torres Strait Near Thursday Island,-10.5802361,142.2210964,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3836,Unprovoked,swimming,M,18,Severe bump & few superficial wounds ,N,1600,1.5 m [5'] shark,19310107,"AUSTRALIA Queensland Yeppoon, near Ross Creek",-23.153186,150.7477128,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3837,Unprovoked,carrying,M,27,"FATAL, thereafter canoes were used to carry the mail",Y,9999,Not Determined,19875253,TONGA Niua  Niuafo'ou Island ,-15.6097616,-175.6332093,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3838,Unprovoked,swimming,M,49,"Bumped by shark, legs abraded",N,1430,Not Determined,19301225,"AUSTRALIA New South Wales Homebush Bay, Parramatta River, Sydney",-33.8321521,151.0806171,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3839,Unprovoked,fell,M,27,FATAL,Y,9999,Not Determined,19301213,"AUSTRALIA New South Wales Sailor Bay, Middle Harbour, Sydney",-33.8035561,151.2270015,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3840,Unprovoked,no activity,M,27,FATAL,Y,9999,Not Determined,19875253,AUSTRALIA New South Wales Parramata River,-33.8344427,151.0923358,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3841,Unprovoked,thrown,M,27,Laceration to leg,N,9999,Not Determined,19301130,"AUSTRALIA Queensland St. Helena Island, Moreton Bay",-27.3852199,153.2344506,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3842,Unprovoked,fishing,M,17,Minor injury,N,1530,Not Determined,19300831,AUSTRALIA Western Australia Geraldton,-28.7761346,114.611295,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3843,Unprovoked,swimming,M,38,Leg bitten,N,9999,Not Determined,19300816,"SPAIN Canary Islands El Escabonal, Tenerife ",28.2582702,-16.4264765,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3844,Unprovoked,swimming,M,27,Lacerations to foot & ankle,N,0600,Not Determined,19300806,"USA Florida Palm Beach Inlet, Palm Beach County",26.772285,-80.037263,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3845,Unprovoked,swimming,M,29,"Right arm & leg bitten, arm & leg surgically amputated ",N,1800,Not Determined,19300719,"CUBA Havana Province LaPlaya Beach / Vedado, Havana",23.1433813,-82.3814653,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3846,Unprovoked,swimming,M,21,Arm lacerated from shoulder to wrist,N,9999,Tiger shark,19300711,"USA Florida Jensen Beach, Martin County",27.2544906,-80.22976969999999,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3847,Unprovoked,no activity,M,27,FATAL,Y,9999,Not Determined,19300604,AUSTRALIA Torres Strait Near Mabuiag Island,-9.9553248,142.1832671,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3848,Unprovoked,swimming,M,27,Lacerations to arm,N,1800,Not Determined,19300527,USA Texas High Island,29.5631308,-94.3899227,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3849,Unprovoked,diving,M,18,FATAL,Y,1630,White shark 4.9 m [16'] ,19300215,"AUSTRALIA Victoria Middle Brighton, Port Phillip",-37.9043383,144.9931825,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3850,Unprovoked,swimming,M,23,Torso & arm bitten,N,1730,"White shark, 4.5 m [14'9""], identity confirmed by witness & tooth pattern",19300116,"SOUTH AFRICA Western Cape Province Melkbaai, False Bay",-34.1075151,18.8210006,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
3851,Unprovoked,swimming,M,27,FATAL,Y,9999,Not Determined,19875253,"SOUTH AFRICA Eastern Cape Province North End Beach, Port Elizabeth",-33.88370099999999,25.6258678,24.041155660377356,9.165705614567528,12.665633608815426,1016.2291060291059
