,Date,Type,Activity,Sex ,Age,Injury,Fatal (Y/N),Time,Species ,Proper_date,Full Location,latitude,longitude
4934,03-Aug-1948,Unprovoked,swimming,M,15,"Quadriceps lacerated, femur exposed",N,9999,Not Determined,19480803,IRAN Shatt-al-Arab River Bashamir,30.8322839,47.557984
4935,Aug-1948,Provoked,spearing,M,41,Shark that he speared bit his calf     PROVOKED INCIDENT,N,9999,"Lemon shark, 4'",19480800,BAHAMAS Bimini Islands Lerner Marine Laboratory,25.6999833,-79.2957347
4936,01-Jul-1948,Unprovoked,swimming,M,46,FATAL,Y,9999,Not Determined,19480701,"USA US Virgin Islands St. John, Genti Bay",18.322426,-64.7480995
4939,10-Apr-1948,Provoked,bringing,M,,Groenwald's arm lacerated by the shark PROVOKED INCIDENT,N,9999,Not Determined,19480410,SOUTH AFRICA Western Cape Province Gansbaai,-34.5805396,19.3517529
4942,Mar-1948,Provoked,spearfishing,M,30,Leg bitten by shark that he had speared  PROVOKED INCIDENT,N,9999,"""grey shark""",19480300,"PAPUA NEW GUINEA New Ireland Province, Bismarck Archipelago Punam Passage, Rataman census div, Namatanai",-3.6692081,152.4063941
4944,12-Feb-1948,Unprovoked,swimming,M,16,"FATAL, right thigh & leg bitten ",Y,9999,3.7 m [12'] shark,19480212,"AUSTRALIA New South Wales Stockton Beach, Newcastle",-32.885101,151.7239497
4945,25-Jan-1948,Unprovoked,,M,,"No injury, ski bitten",N,9999,6' shark,19480125,"AUSTRALIA New South Wales Mona Vale, near Sydney",-33.67596,151.30653
4946,Summer 1948,Provoked,,M,48,Grabbed shark by the tail & it bit him PROVOKED INCIDENT,N,1800,Nurse shark,19480000,USA Florida Biscayne Bay,25.5722,-80.2321
4947,1948,Unprovoked,holding,M,,Right hand bitten,N,9999,Not Determined,19480000,NEW GUINEA Morobe Province Finschafen  ,-6.598434,147.853302
4948,1948,Provoked,spearfishing,M,,Bitten on face while taking shark off spear PROVOKED INCIDENT,N,9999,Not Determined,19480000,"PAPUA NEW GUINEA Bougainville (North Solomons) Tung Island, off the west coast of Buka Island",-6.375391899999999,155.3807101
4950,21-Dec-1947,Unprovoked,fishing,M,9,Leg gashed,N,9999,Grey nurse shark,19471221,"AUSTRALIA New South Wales Watson Taylor's Lake, 25 miles south of Port Macquarie",-31.7016938,152.758844
4954,14-Nov-1947,Unprovoked,fishing,M,17,"No injury, ski bumped",N,9999,Not Determined,19471114,"AUSTRALIA New South Wales Knobby's Beach, Newcastle",-32.9238417,151.7928437
4955,14-Nov-1947,Unprovoked,fishing,M,16,"No injury, ski bumped",N,9999,Not Determined,19471114,"AUSTRALIA New South Wales Knobby's Beach, Newcastle",-32.9238417,151.7928437
4956,08-Nov-1947,Unprovoked,swimming,M,12,"FATAL, leg severed at knee  ",Y,1600,Not Determined,19471108,"AUSTRALIA New South Wales Maria River, Port Macquarie, 12 miles from river mouth",-31.2699476,152.8567516
4957,08-Nov-1947,Unprovoked,swimming,M,13,Thighs & knee lacerated,N,1600,Not Determined,19471108,"AUSTRALIA New South Wales Maria River, Port Macquarie, 12 miles from river mouth",-31.2699476,152.8567516
4958,Nov-1947,Unprovoked,no activity,M,78,FATAL,Y,9999,Not Determined,19471100,AUSTRALIA Queensland Moreton Bay,-27.0946084,152.9205918
4959,28-Oct-1947,Unprovoked,fishing,M,,Kneecap removed,N,9999,Not Determined,19471028,"AUSTRALIA Northern Territory Mornington Island, Gulf of Carpentaria",-16.5174872,139.4059435
4960,10-Oct-1947,Unprovoked,swimming,M,25,FATAL,Y,9999,Not Determined,19471010,BRAZIL Pernambuco Piedade,-8.1801557,-34.9203383
4961,04-Aug-1947,Unprovoked,swimming,M,20,"FATAL, calf bitten, leg surgically amputated  ",Y,9999,Possibly C. leucas,19470804,USA Florida In a canal 10 miles north of St Augustine,29.9012437,-81.31243409999999
4964,15-Jul-1947,Unprovoked,swimming,M,20,Right thigh lacerated,N,0800,Not Determined,19470715,"SOUTH AFRICA KwaZulu-Natal North Beach, Durban",-29.8475749,31.0349434
4966,27-Jun-1947,Unprovoked,fishing,M,35,"Left forearm, arm & leg lacerated",N,1030,Not Determined,19470627,"USA Hawaii Off Waianae, O'ahu",21.4359641,-158.1848755
4969,20-Apr-1947,Unprovoked,treading,M,21,Ankle & shin lacerated,N,1200,"1.5 m, 45-kg shark",19470420,"SOUTH AFRICA KwaZulu-Natal Country Club Beach, Durban",-29.8291667,31.0363889
4970,11-Apr-1947,Unprovoked,surfing,M,14,"Thigh severely lacerated, shin & calf lacerated",N,1730,Not Determined,19470411,"SOUTH AFRICA KwaZulu-Natal Rocket Hut Beach, Durban",-29.8078469,31.03837559999999
4971,06-Apr-1947,Unprovoked,surfing,M,17,"No injury, board scraped by shark",N,9999,Not Determined,19470406,AUSTRALIA New South Wales Palm Beach,-33.601111,151.321667
4973,12-Mar-1947,Unprovoked,wading,M,18,"Hip abraded, right calf severely lacerated",N,1610,Not Determined,19470312,"SOUTH AFRICA KwaZulu-Natal Country Club Beach, Durban",-29.8291667,31.0363889
4974,09-Mar-1947,Unprovoked,treading,M,22,Lacerations on buttock  &  right foot ,N,1200,"Blacktip shark, 2 m [6.75'] ",19470309,"SOUTH AFRICA KwaZulu-Natal Country Club Beach, Durban",-29.8291667,31.0363889
4977,Feb-1947,Unprovoked,bathing,Not Determined,,FATAL,Y,9999,Not Determined,19470200,BRAZIL Rio de Janeiro Copacabana,-22.9694417,-43.1868448
4979,05-Jan-1947,Unprovoked,treading,M,18,Flexed left leg lacerated,N,1550,>1.6 m shark,19470105,"SOUTH AFRICA KwaZulu-Natal Country Club Beach, Durban",-29.8291667,31.0363889
4980,28-Dec-1946,Unprovoked,swimming,M,23,"Forearm & fingers lacerated, teethmarks on wood",N,9999,Not Determined,19461228,AUSTRALIA South Australia Glenelg,-34.980383,138.5131191
4982,20-Nov-1946,Unprovoked,diving,M,30,"FATAL, right arm severed",Y,9999,Not Determined,19461120,AUSTRALIA Torres Strait 40 miles off Thursday Island,0.0,0.0
4984,14-Oct-1946,Unprovoked,swimming,M,15,Left leg lacerated,N,9999,Not Determined,19461014,"AUSTRALIA New South Wales Marks Point, Swan Bay, Lake Macquarie",0.0,0.0
4985,24-Aug-1946,Unprovoked,fishing,M,15,Laceration to back,N,9999,Not Determined,19460824,ISRAEL Gaza Jura Village,31.046051,34.851612
4986,18-Aug-1946,Unprovoked,,M,30,"FATAL, body not recovered",Y,1520,4.3 m [14'] shark,19460818,"AUSTRALIA Queensland Ellis Beach, 20 miles from Cairns",0.0,0.0
4987,18-Jul-1946,Unprovoked,,M,12,Radius & ulna bared,N,9999,Not Determined,19460718,"IRAN Khuzestan Province Dorquain, on the Karun River",31.3239252,48.6757977
4988,18-Jul-1946,Unprovoked,swimming,M,12,"Left Achilles tendon severed, calf muscles severely lacerated",N,9999,Possibly C. leucas,19460718,"IRAN Khuzestan Province Ahvaz, on the Karun River, 275 km from the sea",31.3183272,48.6706187
4990,09-May-1946,Unprovoked,swimming,M,,Leg bitten,N,9999,Not Determined,19460509,TANZANIA Dar-es-Salaam  Dar-es-Salaam harbor,-6.8333333,39.2833333
4991,19-Apr-1946,Unprovoked,swimming,M,17,FATAL,Y,1330,Not Determined,19460419,"AUSTRALIA Queensland Trinity Beach, Cairns",-16.7882092,145.695884
4994,16-Feb-1946,Unprovoked,treading,M,21,Right arm severely lacerated,N,1600,Not Determined,19460216,"SOUTH AFRICA KwaZulu-Natal South Beach, Durban",-29.8578378,31.034184
4995,10-Feb-1946,Unprovoked,standing,M,18,"Leg bitten, surgically amputated",N,1215,"White shark, 4.2 m [13'9""] ",19460210,"AUSTRALIA Western Australia City Beach, Perth",-31.9271277,115.7659078
4996,10-Feb-1946,Unprovoked,swimming,M,18,Flexed right  knee bitten,N,0915,Not Determined,19460210,"SOUTH AFRICA KwaZulu-Natal Battery Beach, Durban",-29.8350364,31.0316269
4997,24-Jan-1946,Unprovoked,treading,M,15,Knee & calf lacerated,N,1715,Not Determined,19460124,"SOUTH AFRICA KwaZulu-Natal Battery Beach, Durban",-29.8350364,31.0316269
4998,24-Jan-1946,Unprovoked,swimming,M,,Foot severely lacerated,N,1800,Not Determined,19460124,"SOUTH AFRICA KwaZulu-Natal Battery Beach, Durban",-29.8350364,31.0316269
4999,17-Jan-1946,Unprovoked,no activity,M,12,Ankle bitten,N,9999,small shark,19460117,AUSTRALIA Queensland Townsville,-19.2589635,146.8169483
5000,07-Jan-1946,Unprovoked,,M,18,Foot bitten,N,1200,1.5 m [5'] shark,19460107,SOUTH AFRICA Western Cape Province False Bay,-34.1291678,18.4461507
5001,05-Jan-1946,Unprovoked,swimming,F,14,"FATAL, left leg severed, right leg injured  ",Y,9999,Not Determined,19460105,"AUSTRALIA New South Wales Oatley Bay near Como, Georges River",0.0,0.0
5002,01-Jan-1946,Unprovoked,surfing,M,24,Calf lacerated,N,9999,Not Determined,19460101,"SOUTH AFRICA Eastern Cape Province Pollock Beach, Port Elizabeth",-33.9879779,25.6702004
5009,06-Sep-1945,Unprovoked,swimming,M,13,"Right forearm injured, mid-humeral amputation",N,9999,Not Determined,19450906,IRAN Shatt-al-Arab River Bashamir,30.8322839,47.557984
5010,19-Aug-1945,Unprovoked,no activity,M,,Lower left leg amputated,N,9999,Not Determined,19450819,IRAN / IRAQ Shatt-al-Arab River Vicinity of Abadan,30.8322839,47.557984
5011,06-Aug-1945,Unprovoked,no activity,Not Determined,,FATAL,Y,9999,Not Determined,19450806,USA  North Carolina Ocracoke,35.1146152,-75.9810097
